Bigrammes :
('voir', 'l’Empereur'): 1 
('l’Empereur', '?'): 1 
('—', 'Pour'): 1 
('Pour', 'être'): 1 
('être', 'conduit'): 1 
('conduit', 'au'): 1 
('au', 'Palais,'): 1 
('Palais,', 'monsieur.'): 1 
('monsieur.', 'Tels'): 1 
('Tels', 'sont'): 1 
('sont', 'les'): 2 
('les', 'ordres'): 1 
('ordres', 'que'): 1 
('j’ai', 'reçus.'): 1 
('reçus.', '—'): 1 
('Mais', 'pourquoi'): 1 
('pourquoi', '?'): 1 
('—', 'On'): 1 
('On', 'ne'): 2 
('ne', 'me'): 2 
('me', 'l’a'): 1 
('l’a', 'pas'): 1 
('pas', 'dit.'): 1 
('dit.', 'Et'): 1 
('Et', 'mes'): 1 
('mes', 'ordres'): 1 
('ordres', 'sont'): 1 
('sont', 'stricts'): 1 
('stricts', ':'): 1 
(':', 'vous'): 1 
('vous', 'devez'): 1 
('devez', 'me'): 1 
('me', 'suivre...'): 1 
('suivre...', 'd’une'): 1 
('d’une', 'manière'): 2 
('manière', 'ou'): 1 
('ou', 'de'): 2 
('de', 'l’autre.'): 1 
('l’autre.', '—'): 1 
('Mais', 'cela'): 2 
('cela', 'ressemble'): 1 
('ressemble', 'fort'): 1 
('fort', 'à'): 1 
('à', 'une'): 3 
('une', 'arrestation.'): 1 
('arrestation.', 'Je'): 1 
('Je', 'n’ai'): 3 
('n’ai', 'pourtant'): 1 
('pourtant', 'rien'): 1 
('rien', 'commis'): 1 
('commis', 'de'): 1 
('de', 'répréhensible.'): 1 
('répréhensible.', '—'): 1 
('—', 'Disons'): 1 
('Disons', 'plutôt,'): 1 
('plutôt,', 'monsieur,'): 1 
('monsieur,', 'que'): 1 
('l’on', 'vous'): 1 
('vous', 'fournit'): 1 
('fournit', 'une'): 1 
('une', 'garde'): 1 
('garde', 'd’honneur,'): 1 
('d’honneur,', 'si'): 1 
('si', 'vous'): 6 
('vous', 'ne'): 6 
('ne', 'tardez'): 1 
('tardez', 'pas'): 1 
('pas', 'davantage.'): 1 
('davantage.', '»'): 1 
('»', 'Seldon'): 3 
('Seldon', 'ne'): 3 
('ne', 'tarda'): 1 
('tarda', 'pas'): 1 
('pas', 'plus.'): 1 
('plus.', 'Il'): 1 
('Il', 'pinça'): 1 
('pinça', 'les'): 1 
('les', 'lèvres,'): 1 
('lèvres,', 'comme'): 1 
('pour', 'retenir'): 1 
('retenir', 'de'): 1 
('de', 'nouvelles'): 1 
('nouvelles', 'questions,'): 1 
('questions,', 'hocha'): 1 
('hocha', 'la'): 1 
('la', 'tête,'): 1 
('tête,', 'avança'): 1 
('avança', 'd’un'): 1 
('d’un', 'pas.'): 1 
('pas.', 'Même'): 1 
('Même', 'si'): 1 
('si', 'c’était'): 2 
('c’était', 'pour'): 1 
('pour', 'être'): 1 
('être', 'présenté'): 1 
('présenté', 'à'): 1 
('à', 'l’Empereur'): 1 
('l’Empereur', 'et'): 1 
('et', 'recevoir'): 1 
('recevoir', 'ses'): 1 
('ses', 'félicitations,'): 1 
('félicitations,', 'il'): 1 
('il', 'n’y'): 2 
('n’y', 'trouvait'): 1 
('trouvait', 'aucun'): 1 
('aucun', 'plaisir.'): 1 
('plaisir.', 'Il'): 1 
('Il', 'était'): 2 
('était', 'pour'): 1 
('l’Empire', '–'): 1 
('–', 'enfin,'): 1 
('enfin,', 'pour'): 1 
('pour', 'la'): 1 
('la', 'paix'): 1 
('et', 'l’unité'): 1 
('l’unité', 'des'): 1 
('des', 'mondes'): 1 
('mondes', 'formant'): 1 
('formant', 'l’humanité'): 1 
('l’humanité', '–,'): 1 
('–,', 'mais'): 1 
('mais', 'il'): 5 
('il', 'n’était'): 1 
('n’était', 'pas'): 2 
('pas', 'pour'): 2 
('pour', 'l’Empereur.'): 1 
('l’Empereur.', 'Le'): 1 
('Le', 'lieutenant'): 1 
('lieutenant', 'le'): 1 
('le', 'précéda,'): 1 
('précéda,', 'les'): 1 
('les', 'deux'): 1 
('autres', 'fermant'): 1 
('fermant', 'la'): 1 
('la', 'marche.'): 1 
('marche.', 'Seldon'): 1 
('Seldon', 'sourit'): 1 
('sourit', 'aux'): 1 
('aux', 'passants'): 1 
('passants', 'qu’il'): 1 
('qu’il', 'croisait,'): 1 
('croisait,', 'essayant'): 1 
('essayant', 'de'): 1 
('de', 'prendre'): 2 
('prendre', 'un'): 1 
('un', 'air'): 2 
('air', 'dégagé.'): 1 
('dégagé.', 'Une'): 1 
('Une', 'fois'): 1 
('fois', 'sortis'): 1 
('sortis', 'de'): 1 
('de', 'l’hôtel,'): 1 
('l’hôtel,', 'ils'): 1 
('ils', 'montèrent'): 1 
('montèrent', 'dans'): 1 
('dans', 'un'): 7 
('un', 'véhicule'): 1 
('véhicule', 'terrestre'): 1 
('terrestre', 'officiel'): 1 
('officiel', '(Seldon'): 1 
('(Seldon', 'caressa'): 1 
('caressa', 'de'): 1 
('la', 'main'): 1 
('main', 'les'): 1 
('les', 'garnitures'): 1 
('garnitures', 'intérieures'): 1 
('intérieures', ':'): 1 
(':', 'jamais'): 1 
('jamais', 'il'): 1 
('il', 'n’avait'): 1 
('n’avait', 'vu'): 1 
('vu', 'quelque'): 1 
('quelque', 'chose'): 2 
('chose', 'd’aussi'): 1 
('d’aussi', 'ouvragé).'): 1 
('ouvragé).', 'Ils'): 1 
('Ils', 'se'): 1 
('se', 'trouvaient'): 1 
('trouvaient', 'dans'): 1 
('un', 'des'): 1 
('des', 'secteurs'): 1 
('secteurs', 'les'): 1 
('les', 'plus'): 1 
('plus', 'opulents'): 1 
('opulents', 'de'): 1 
('de', 'Trantor'): 3 
('Trantor', ':'): 1 
(':', 'ici,'): 1 
('ici,', 'le'): 1 
('le', 'dôme'): 1 
('dôme', 'était'): 1 
('était', 'assez'): 1 
('assez', 'haut'): 1 
('haut', 'pour'): 1 
('pour', 'vous'): 2 
('vous', 'donner'): 1 
('donner', 'l’impression'): 1 
('l’impression', 'd’être'): 2 
('d’être', 'à'): 1 
('à', 'l’air'): 1 
('l’air', 'libre'): 1 
('libre', 'et'): 1 
('et', 'l’on'): 1 
('l’on', 'aurait'): 1 
('pu', 'jurer'): 1 
('jurer', '–'): 1 
('–', 'même'): 1 
('même', 'quelqu’un'): 1 
('quelqu’un', 'comme'): 1 
('comme', 'Hari'): 1 
('Seldon', 'qui'): 1 
('qui', 'était'): 1 
('était', 'né'): 1 
('né', 'et'): 1 
('et', 'avait'): 1 
('avait', 'grandi'): 1 
('grandi', 'dans'): 1 
('un', 'monde'): 1 
('monde', 'ouvert'): 1 
('ouvert', '–'): 1 
('–', 'qu’on'): 1 
('qu’on', 'était'): 1 
('était', 'à'): 1 
('la', 'lumière'): 1 
('lumière', 'naturelle.'): 1 
('naturelle.', 'Certes,'): 1 
('Certes,', 'il'): 1 
('n’y', 'avait'): 1 
('avait', 'ni'): 1 
('ni', 'ombre'): 1 
('ombre', 'ni'): 1 
('ni', 'soleil,'): 1 
('soleil,', 'mais'): 1 
('mais', 'l’air'): 1 
('l’air', 'était'): 2 
('était', 'léger'): 1 
('léger', 'et'): 1 
('et', 'parfumé.'): 1 
('parfumé.', 'Et'): 1 
('Et', 'puis'): 1 
('puis', 'l’impression'): 1 
('l’impression', 'se'): 1 
('se', 'dissipa,'): 1 
('dissipa,', 'la'): 1 
('la', 'courbure'): 1 
('courbure', 'du'): 1 
('du', 'dôme'): 1 
('dôme', 's’accentua,'): 1 
('s’accentua,', 'les'): 1 
('les', 'parois'): 1 
('parois', 'se'): 1 
('se', 'rétrécirent'): 1 
('rétrécirent', 'et'): 1 
('et', 'bientôt'): 1 
('bientôt', 'ils'): 1 
('ils', 's’enfonçaient'): 1 
('s’enfonçaient', 'dans'): 1 
('un', 'tunnel'): 1 
('tunnel', 'confiné,'): 1 
('confiné,', 'balisé'): 1 
('balisé', 'à'): 1 
('à', 'intervalles'): 1 
('intervalles', 'réguliers'): 1 
('réguliers', 'par'): 1 
('par', 'l’emblème'): 1 
('l’emblème', 'au'): 1 
('au', 'Soleil'): 1 
('Soleil', 'et'): 1 
('et', 'à'): 1 
('à', 'l’Astronef'): 1 
('l’Astronef', 'et'): 1 
('et', 'donc'): 1 
('donc', 'réservé'): 1 
('réservé', '(de'): 1 
('(de', 'l’avis'): 1 
('l’avis', 'de'): 1 
('de', 'Seldon)'): 1 
('Seldon)', 'aux'): 1 
('aux', 'véhicules'): 1 
('véhicules', 'officiels.'): 1 
('officiels.', 'Seldon'): 1 
('Seldon', 'fut'): 2 
('fut', 'introduit'): 1 
('introduit', 'dans'): 1 
('dans', 'une'): 3 
('une', 'pièce'): 1 
('pièce', 'de'): 1 
('de', 'taille'): 1 
('taille', 'moyenne,'): 1 
('moyenne,', 'meublée'): 1 
('meublée', 'avec'): 1 
('avec', 'ostentation,'): 1 
('ostentation,', 'où'): 1 
('où', 'l’attendait'): 1 
('l’attendait', 'un'): 1 
('un', 'homme'): 1 
('homme', 'd’allure'): 1 
('d’allure', 'jeune,'): 1 
('jeune,', 'assis'): 1 
('assis', 'au'): 1 
('au', 'coin'): 1 
('coin', 'd’une'): 1 
('d’une', 'table'): 1 
('table', 'dans'): 1 
('une', 'alcôve'): 1 
('alcôve', 'devant'): 1 
('devant', 'une'): 1 
('une', 'fenêtre,'): 1 
('fenêtre,', 'un'): 1 
